role,assistant_axis_score__alpha_1.0,assistant_axis_cmp_emotional_register__alpha_1.0,assistant_axis_cmp_vocab_choice__alpha_1.0,assistant_axis_cmp_social_dynamic__alpha_1.0,assistant_axis_cmp_motivation__alpha_1.0,assistant_axis_cmp_worldview_alignment__alpha_1.0,assistant_axis_score__alpha_1.5,assistant_axis_cmp_emotional_register__alpha_1.5,assistant_axis_cmp_vocab_choice__alpha_1.5,assistant_axis_cmp_social_dynamic__alpha_1.5,assistant_axis_cmp_motivation__alpha_1.5,assistant_axis_cmp_worldview_alignment__alpha_1.5,assistant_axis_score__alpha_2.0,assistant_axis_cmp_emotional_register__alpha_2.0,assistant_axis_cmp_vocab_choice__alpha_2.0,assistant_axis_cmp_social_dynamic__alpha_2.0,assistant_axis_cmp_motivation__alpha_2.0,assistant_axis_cmp_worldview_alignment__alpha_2.0,assistant_axis_score__alpha_2.5,assistant_axis_cmp_emotional_register__alpha_2.5,assistant_axis_cmp_vocab_choice__alpha_2.5,assistant_axis_cmp_social_dynamic__alpha_2.5,assistant_axis_cmp_motivation__alpha_2.5,assistant_axis_cmp_worldview_alignment__alpha_2.5
amateur,63.14912280701754,40.175438596491226,38.70614035087719,38.07017543859649,44.45175438596491,42.36842105263158,69.64473684210526,44.671052631578945,45.78947368421053,43.50877192982456,50.81140350877193,48.771929824561404,57.56578947368421,35.81140350877193,37.80701754385965,35.85526315789474,48.37719298245614,45.219298245614034,27.67543859649123,21.99561403508772,19.86842105263158,22.894736842105264,35.833333333333336,31.228070175438596
ambassador,71.03070175438596,62.01754385964912,66.9298245614035,59.3421052631579,65.89912280701755,62.19298245614035,70.90350877192982,63.90350877192982,65.04385964912281,61.35964912280702,69.3859649122807,65.3157894736842,50.68421052631579,44.75877192982456,44.21052631578947,42.521929824561404,58.28947368421053,51.8421052631579,14.342105263157896,14.320175438596491,11.62280701754386,12.719298245614034,21.513157894736842,17.32456140350877
amnesiac,37.28947368421053,28.355263157894736,41.11842105263158,34.824561403508774,31.11842105263158,28.026315789473685,43.166666666666664,32.96052631578947,43.35526315789474,37.12719298245614,36.14035087719298,32.41228070175438,42.31140350877193,27.346491228070175,35.5921052631579,32.06140350877193,36.49122807017544,31.359649122807017,26.38157894736842,15.767543859649123,16.68859649122807,17.54385964912281,25.109649122807017,19.605263157894736
analyst,85.9342105263158,68.31140350877193,72.87280701754386,67.69736842105263,73.87280701754386,70.95614035087719,82.69298245614036,66.60087719298245,70.04385964912281,66.2719298245614,73.48684210526316,70.32456140350877,54.62280701754386,43.48684210526316,44.32017543859649,44.18859649122807,58.17982456140351,53.969298245614034,17.960526315789473,16.44736842105263,15.43859649122807,17.19298245614035,25.263157894736842,20.350877192982455
anarchist,30.70614035087719,13.662280701754385,27.74122807017544,19.232456140350877,14.868421052631579,10.548245614035087,34.01315789473684,15.043859649122806,30.24122807017544,22.54385964912281,17.653508771929825,12.697368421052632,28.982456140350877,12.083333333333334,26.95175438596491,18.903508771929825,17.894736842105264,12.368421052631579,15.043859649122806,7.565789473684211,16.776315789473685,11.25,15.701754385964913,11.469298245614034
ancient,44.6359649122807,21.885964912280702,31.00877192982456,27.982456140350877,37.10526315789474,26.20614035087719,48.1140350877193,26.271929824561404,34.780701754385966,31.62280701754386,43.75,32.10526315789474,40.04824561403509,19.780701754385966,25.635964912280702,25.94298245614035,40.5921052631579,28.44298245614035,11.614035087719298,6.535087719298246,7.754385964912281,8.026315789473685,17.36842105263158,9.605263157894736
angel,66.99122807017544,30.394736842105264,42.916666666666664,35.35087719298246,42.78508771929825,31.842105263157894,71.49561403508773,34.95614035087719,45.08771929824562,40.94298245614035,50.328947368421055,39.49561403508772,62.37719298245614,30.50438596491228,35.723684210526315,35.28508771929825,48.79385964912281,37.43421052631579,18.333333333333332,12.324561403508772,12.324561403508772,13.00438596491228,23.969298245614034,15.855263157894736
anthropologist,60.86842105263158,53.59649122807018,62.78508771929825,55.96491228070175,58.771929824561404,54.21052631578947,61.10087719298246,54.14473684210526,61.92982456140351,57.675438596491226,62.98245614035088,57.69736842105263,47.55701754385965,35.328947368421055,40.76754385964912,38.99122807017544,52.478070175438596,46.469298245614034,17.214912280701753,13.508771929824562,16.885964912280702,15.74561403508772,25.899122807017545,21.535087719298247
archaeologist,41.90350877192982,24.144736842105264,38.83771929824562,30.70175438596491,28.61842105263158,24.342105263157894,42.73245614035088,24.45175438596491,38.88157894736842,30.855263157894736,31.68859649122807,26.864035087719298,28.763157894736842,12.587719298245615,24.342105263157894,18.68421052631579,22.280701754385966,17.67543859649123,14.276315789473685,7.675438596491228,13.37719298245614,10.942982456140351,15.37280701754386,11.18421052631579
architect,56.1528384279476,55.28384279475983,60.72052401746725,54.56331877729258,59.41048034934498,54.3231441048035,56.38864628820961,56.200873362445414,59.78165938864629,56.1353711790393,62.96943231441048,58.34061135371179,37.109170305676855,36.81222707423581,39.49781659388646,37.44541484716157,50.74235807860262,44.49781659388646,13.771929824561404,14.166666666666666,13.662280701754385,14.62719298245614,24.62719298245614,19.42982456140351
archivist,50.44298245614035,40.81140350877193,50.85526315789474,43.99122807017544,43.026315789473685,39.23245614035088,52.10526315789474,42.85087719298246,50.328947368421055,46.14035087719298,45.70175438596491,41.92982456140351,36.60526315789474,26.600877192982455,34.276315789473685,32.45614035087719,36.578947368421055,31.99561403508772,13.157894736842104,10.723684210526315,13.442982456140351,13.596491228070175,17.17105263157895,13.399122807017545
artisan,55.60698689956332,47.11790393013101,53.842794759825324,47.7292576419214,53.275109170305676,48.73362445414847,58.17903930131004,50.109170305676855,55.72052401746725,51.4410480349345,57.7292576419214,52.79475982532751,45.8471615720524,37.59825327510917,41.419213973799124,38.82096069868996,51.09170305676856,45.633187772925766,17.280701754385966,16.513157894736842,16.42543859649123,17.412280701754387,28.17982456140351,22.960526315789473
ascetic,38.73684210526316,19.846491228070175,32.21491228070175,26.644736842105264,22.083333333333332,15.197368421052632,42.925438596491226,23.114035087719298,35.6578947368421,31.31578947368421,27.74122807017544,19.714912280701753,40.94736842105263,20.32894736842105,29.780701754385966,27.653508771929825,30.54824561403509,21.11842105263158,18.333333333333332,12.87280701754386,15.50438596491228,15.942982456140351,22.785087719298247,15.232456140350877
assistant,93.46052631578948,76.14035087719299,79.07894736842105,76.42543859649123,85.04385964912281,82.95175438596492,91.05701754385964,75.5701754385965,77.63157894736842,76.29385964912281,85.0219298245614,82.66666666666667,60.95614035087719,51.18421052631579,51.9078947368421,52.521929824561404,68.28947368421052,64.47368421052632,18.394736842105264,19.364035087719298,18.223684210526315,19.473684210526315,31.07456140350877,25.789473684210527
auctioneer,34.0,22.93859649122807,30.986842105263158,22.32456140350877,38.68421052631579,31.907894736842106,35.15350877192982,26.513157894736842,33.969298245614034,25.92105263157895,42.89473684210526,37.083333333333336,25.57456140350877,16.42543859649123,24.714912280701753,18.04824561403509,36.75438596491228,30.614035087719298,11.359649122807017,7.565789473684211,10.921052631578947,7.6535087719298245,22.916666666666668,16.79824561403509
auditor,63.12280701754386,56.71052631578947,61.75438596491228,55.0,59.62719298245614,55.35087719298246,65.15350877192982,58.64035087719298,61.8859649122807,57.71052631578947,63.276315789473685,58.90350877192982,45.469298245614034,37.76315789473684,40.175438596491226,37.828947368421055,50.526315789473685,45.50438596491228,13.114035087719298,11.469298245614034,12.149122807017545,12.149122807017545,17.87280701754386,14.342105263157896
avatar,55.276315789473685,28.903508771929825,42.03947368421053,35.526315789473685,43.75,32.478070175438596,60.86842105263158,33.61842105263158,45.54824561403509,41.53508771929825,51.11842105263158,39.21052631578947,52.60964912280702,25.0,34.05701754385965,32.60964912280702,44.824561403508774,33.85964912280702,15.49561403508772,8.991228070175438,11.846491228070175,11.649122807017545,21.00877192982456,13.75
bard,50.85526315789474,29.18859649122807,39.69298245614035,38.421052631578945,51.973684210526315,42.54385964912281,56.38157894736842,32.76315789473684,41.49122807017544,41.8859649122807,57.06140350877193,48.1359649122807,59.98245614035088,35.57017543859649,39.23245614035088,42.19298245614035,59.978070175438596,51.60087719298246,18.460526315789473,11.271929824561404,10.635964912280702,13.421052631578947,24.95614035087719,17.982456140350877
bartender,45.8640350877193,33.04824561403509,36.666666666666664,30.17543859649123,45.04385964912281,39.29824561403509,48.84649122807018,36.776315789473685,40.85526315789474,34.80263157894737,51.40350877192982,45.24122807017544,38.89035087719298,26.55701754385965,30.592105263157894,26.07456140350877,45.921052631578945,39.3859649122807,20.526315789473685,14.385964912280702,14.18859649122807,13.24561403508772,33.55263157894737,26.99561403508772
biologist,56.29385964912281,54.29824561403509,62.41228070175438,56.030701754385966,57.96052631578947,53.66228070175438,54.18859649122807,54.75877192982456,60.6140350877193,56.9078947368421,59.86842105263158,55.4078947368421,34.86842105263158,30.74561403508772,38.17982456140351,35.28508771929825,44.18859649122807,39.276315789473685,12.149122807017545,11.074561403508772,12.828947368421053,13.333333333333334,18.31140350877193,14.473684210526315
blogger,71.59210526315789,58.0921052631579,68.39912280701755,61.09649122807018,69.75877192982456,67.98245614035088,71.5657894736842,59.3859649122807,66.49122807017544,61.25,71.99561403508773,69.53947368421052,55.46491228070175,47.828947368421055,49.29824561403509,47.78508771929825,64.91228070175438,61.14035087719298,16.662280701754387,18.44298245614035,14.758771929824562,18.903508771929825,35.10964912280702,29.342105263157894
bohemian,52.8859649122807,31.95175438596491,40.30701754385965,40.37280701754386,44.80263157894737,35.30701754385965,60.01315789473684,37.80701754385965,44.780701754385966,45.30701754385965,52.60964912280702,42.98245614035088,60.3640350877193,36.578947368421055,39.42982456140351,42.58771929824562,54.01315789473684,45.328947368421055,22.17543859649123,18.223684210526315,15.68859649122807,21.11842105263158,33.85964912280702,26.021929824561404
builder,63.276315789473685,41.11842105263158,52.45614035087719,44.49561403508772,51.8859649122807,48.55263157894737,63.84649122807018,43.1578947368421,55.74561403508772,46.68859649122807,57.69736842105263,53.24561403508772,48.09649122807018,28.223684210526315,39.45175438596491,34.42982456140351,47.54385964912281,42.85087719298246,18.355263157894736,11.096491228070175,16.31578947368421,13.903508771929825,22.25877192982456,17.82894736842105
caregiver,72.23580786026201,51.65938864628821,63.51528384279476,55.76419213973799,59.519650655021834,57.66375545851528,75.20524017467248,56.02620087336245,65.32751091703057,59.65065502183406,66.02620087336244,62.96943231441048,63.646288209606986,46.52838427947598,48.97379912663755,47.18340611353712,58.799126637554586,55.698689956331876,21.99561403508772,20.19736842105263,18.092105263157894,19.45175438596491,30.74561403508772,25.789473684210527
cartographer,44.33771929824562,45.15350877192982,53.64035087719298,45.78947368421053,45.416666666666664,41.49122807017544,44.60087719298246,44.671052631578945,52.34649122807018,46.51315789473684,48.79385964912281,44.32017543859649,30.19736842105263,27.390350877192983,35.81140350877193,31.44736842105263,38.70614035087719,34.3421052631579,10.37280701754386,10.109649122807017,11.732456140350877,12.083333333333334,16.337719298245613,12.56578947368421
caveman,11.56140350877193,1.9517543859649122,1.162280701754386,3.0921052631578947,11.513157894736842,2.8508771929824563,15.118421052631579,3.991228070175439,2.2982456140350878,5.37280701754386,15.986842105263158,5.9868421052631575,17.583333333333332,5.109649122807017,3.026315789473684,6.557017543859649,20.482456140350877,8.530701754385966,13.973684210526315,4.890350877192983,2.4035087719298245,5.1535087719298245,17.236842105263158,6.8201754385964914
celebrity,41.60087719298246,39.95614035087719,48.421052631578945,39.89035087719298,49.824561403508774,45.39473684210526,43.45175438596491,42.03947368421053,50.96491228070175,41.95175438596491,55.723684210526315,50.416666666666664,34.50877192982456,29.846491228070175,37.89473684210526,31.776315789473685,48.46491228070175,43.026315789473685,21.46288209606987,18.14410480349345,20.131004366812228,18.624454148471617,36.790393013100434,30.676855895196507
chameleon,45.8421052631579,34.3421052631579,44.71491228070175,36.776315789473685,41.68859649122807,35.0,48.10087719298246,35.06578947368421,45.78947368421053,39.12280701754386,44.12280701754386,37.25877192982456,41.83771929824562,26.228070175438596,33.66228070175438,30.350877192982455,38.969298245614034,32.23684210526316,21.864035087719298,13.706140350877194,16.42543859649123,16.469298245614034,26.271929824561404,18.92543859649123
chef,33.069868995633186,39.25764192139738,45.9825327510917,39.148471615720524,43.88646288209607,39.82532751091703,34.3231441048035,42.05240174672489,47.88209606986899,41.81222707423581,49.19213973799127,44.38864628820961,22.67248908296943,28.231441048034934,34.41048034934498,29.78165938864629,39.93449781659389,35.50218340611354,11.790393013100436,14.126637554585153,16.419213973799128,15.283842794759826,25.633187772925766,20.786026200873362
chemist,52.416666666666664,53.81578947368421,60.08771929824562,53.99122807017544,55.24122807017544,51.87719298245614,53.219298245614034,54.95614035087719,60.6140350877193,55.28508771929825,57.98245614035088,54.53947368421053,32.07017543859649,33.88157894736842,37.45614035087719,35.78947368421053,44.80263157894737,40.921052631578945,12.969432314410481,14.43231441048035,15.043668122270743,15.960698689956331,23.187772925764193,18.995633187772924
chimera,43.666666666666664,20.635964912280702,36.14035087719298,32.03947368421053,28.969298245614034,21.359649122807017,46.95175438596491,22.214912280701753,37.06140350877193,33.90350877192982,33.728070175438596,24.86842105263158,40.10087719298246,15.285087719298245,27.083333333333332,26.600877192982455,31.49122807017544,21.964912280701753,19.460526315789473,9.013157894736842,13.486842105263158,15.06578947368421,20.526315789473685,13.302631578947368
coach,89.58333333333333,56.20614035087719,65.32894736842105,57.56578947368421,66.9298245614035,64.62719298245614,87.49122807017544,58.20175438596491,65.26315789473684,59.03508771929825,69.3201754385965,65.43859649122807,59.95175438596491,37.98245614035088,43.26754385964912,39.60526315789474,54.18859649122807,49.03508771929825,28.837719298245613,23.464912280701753,26.842105263157894,24.364035087719298,36.51315789473684,30.899122807017545
collaborator,89.53508771929825,69.86842105263158,75.6798245614035,69.67105263157895,77.67543859649123,75.07894736842105,88.32456140350877,70.17543859649123,72.93859649122807,70.10964912280701,78.31140350877193,76.00877192982456,71.00438596491227,55.19736842105263,56.030701754385966,55.37280701754386,67.96052631578948,64.33333333333333,24.32017543859649,25.06578947368421,23.486842105263158,25.263157894736842,36.29385964912281,31.469298245614034
collector,44.81578947368421,28.135964912280702,40.15350877192982,33.20175438596491,31.49122807017544,27.521929824561404,45.29824561403509,29.232456140350877,41.05263157894737,34.978070175438596,34.01315789473684,29.25438596491228,33.35964912280702,18.70614035087719,27.36842105263158,24.07894736842105,27.105263157894736,22.43421052631579,13.837719298245615,9.035087719298245,12.719298245614034,11.62280701754386,14.671052631578947,10.789473684210526
comedian,36.39035087719298,22.017543859649123,30.24122807017544,29.45175438596491,48.530701754385966,41.49122807017544,40.64473684210526,30.37280701754386,36.8640350877193,37.43421052631579,57.45614035087719,49.86842105263158,33.06140350877193,22.87280701754386,26.20614035087719,28.04824561403509,51.14035087719298,43.421052631578945,8.201754385964913,7.697368421052632,6.162280701754386,8.31140350877193,18.57456140350877,11.710526315789474
competitor,54.469298245614034,37.12719298245614,52.521929824561404,38.70614035087719,35.723684210526315,35.35087719298246,56.04824561403509,38.969298245614034,53.771929824561404,39.978070175438596,38.17982456140351,37.21491228070175,44.68421052631579,27.653508771929825,38.223684210526315,30.219298245614034,33.925438596491226,30.54824561403509,19.767543859649123,12.192982456140351,15.482456140350877,13.947368421052632,17.587719298245613,14.25438596491228
composer,40.828947368421055,31.337719298245613,46.14035087719298,41.82017543859649,40.96491228070175,36.425438596491226,42.49122807017544,33.1578947368421,47.60964912280702,43.64035087719298,44.42982456140351,39.56140350877193,31.592105263157894,21.11842105263158,33.333333333333336,30.657894736842106,37.324561403508774,32.23684210526316,11.855263157894736,8.486842105263158,13.355263157894736,14.25438596491228,19.232456140350877,14.013157894736842
conservator,50.96052631578947,45.583333333333336,51.30701754385965,45.53947368421053,45.166666666666664,41.08771929824562,51.12719298245614,48.70614035087719,52.5,49.91228070175438,50.50438596491228,45.62719298245614,37.14912280701754,32.09649122807018,34.026315789473685,33.30263157894737,40.86842105263158,35.69298245614035,16.79824561403509,14.078947368421053,14.057017543859649,15.416666666666666,21.842105263157894,17.06140350877193
consultant,88.64912280701755,72.65350877192982,76.57894736842105,73.28947368421052,79.60526315789474,77.5219298245614,86.60964912280701,72.5657894736842,74.71491228070175,72.28070175438596,80.04385964912281,77.54385964912281,56.31140350877193,47.65350877192982,48.728070175438596,48.31140350877193,62.74122807017544,58.90350877192982,16.732456140350877,18.99122807017544,18.026315789473685,19.978070175438596,27.5,23.135964912280702
contrarian,45.333333333333336,38.39912280701754,55.89912280701754,40.6359649122807,36.8640350877193,30.394736842105264,46.60964912280702,38.07017543859649,55.723684210526315,39.29824561403509,37.083333333333336,30.57017543859649,37.80263157894737,28.969298245614034,38.61842105263158,30.723684210526315,37.14912280701754,29.364035087719298,20.94298245614035,17.63157894736842,20.416666666666668,19.45175438596491,28.114035087719298,21.083333333333332
coordinator,82.97368421052632,69.9342105263158,74.78070175438596,69.4298245614035,74.67105263157895,72.69736842105263,83.40350877192982,70.94298245614036,73.02631578947368,70.78947368421052,77.89473684210526,75.17543859649123,61.66812227074236,51.1353711790393,51.81222707423581,52.4235807860262,64.17030567685589,60.74235807860262,19.475982532751093,19.759825327510917,19.323144104803493,20.502183406113538,29.192139737991265,25.04366812227074
coral_reef,59.71491228070175,29.67105263157895,41.71052631578947,37.171052631578945,39.3859649122807,30.986842105263158,61.421052631578945,31.513157894736842,42.10526315789474,39.14473684210526,44.3421052631579,35.57017543859649,50.80263157894737,25.219298245614034,32.828947368421055,31.600877192982455,42.675438596491226,33.68421052631579,19.210526315789473,11.271929824561404,13.653508771929825,15.320175438596491,25.416666666666668,18.464912280701753
cosmopolitan,78.9780701754386,65.32894736842105,71.95175438596492,66.8640350877193,75.30701754385964,71.53947368421052,78.49561403508773,65.85526315789474,70.85526315789474,67.67543859649123,77.32456140350877,72.62280701754386,61.24122807017544,51.35964912280702,53.61842105263158,51.95175438596491,68.99122807017544,63.70614035087719,21.57894736842105,21.49122807017544,21.885964912280702,22.763157894736842,37.19298245614035,32.10526315789474
counselor,82.70175438596492,65.74561403508773,71.90789473684211,67.69736842105263,75.35087719298245,72.30263157894737,84.84210526315789,69.56140350877193,72.21491228070175,71.95175438596492,79.89035087719299,76.54824561403508,67.5657894736842,56.666666666666664,53.66228070175438,56.95175438596491,70.13157894736842,65.0219298245614,26.359649122807017,28.17982456140351,23.50877192982456,26.99561403508772,39.86842105263158,34.29824561403509
criminal,24.236842105263158,10.285087719298245,14.12280701754386,10.855263157894736,12.390350877192983,8.385964912280702,27.36842105263158,11.732456140350877,15.81140350877193,12.543859649122806,15.614035087719298,10.855263157894736,20.70614035087719,8.31140350877193,14.12280701754386,9.912280701754385,13.442982456140351,9.473684210526315,12.763157894736842,5.065789473684211,9.25438596491228,6.228070175438597,10.021929824561404,5.833333333333333
critic,54.86026200873363,48.36244541484716,58.31877729257642,48.51528384279476,56.5938864628821,50.02183406113537,53.620087336244545,48.29694323144105,57.44541484716157,50.327510917030565,58.73362445414847,52.86026200873363,35.39473684210526,31.864035087719298,36.49122807017544,34.03508771929825,48.04824561403509,40.54824561403509,11.253275109170305,12.510917030567686,13.580786026200874,13.51528384279476,22.532751091703055,16.70305676855895
crystalline,64.16228070175438,43.44298245614035,59.3640350877193,50.35087719298246,56.14035087719298,50.04385964912281,65.9780701754386,44.29824561403509,59.56140350877193,50.85526315789474,59.03508771929825,52.41228070175438,47.421052631578945,29.210526315789473,40.30701754385965,35.35087719298246,48.99122807017544,42.60964912280702,13.399122807017545,8.618421052631579,14.18859649122807,12.368421052631579,19.18859649122807,14.802631578947368
curator,58.13157894736842,56.40350877192982,62.06140350877193,56.92982456140351,60.81140350877193,57.12719298245614,57.71052631578947,56.228070175438596,60.833333333333336,57.06140350877193,62.21491228070175,58.17982456140351,40.35087719298246,36.73245614035088,40.833333333333336,38.1578947368421,49.978070175438596,44.80263157894737,14.671052631578947,15.241228070175438,14.793859649122806,15.776315789473685,24.342105263157894,19.482456140350877
cyborg,44.973684210526315,19.232456140350877,31.57894736842105,25.50438596491228,37.280701754385966,27.12719298245614,45.29824561403509,20.43859649122807,32.69736842105263,27.960526315789473,38.59649122807018,28.61842105263158,36.14035087719298,13.070175438596491,23.04824561403509,20.17543859649123,33.24561403508772,23.771929824561404,15.50438596491228,6.8201754385964914,11.18421052631579,10.06578947368421,19.342105263157894,11.81140350877193
cynic,37.71052631578947,13.070175438596491,30.021929824561404,22.390350877192983,18.55263157894737,11.929824561403509,40.39912280701754,14.385964912280702,31.42543859649123,24.035087719298247,21.096491228070175,13.68421052631579,35.46052631578947,12.43421052631579,24.69298245614035,20.06578947368421,23.20175438596491,14.18859649122807,19.25438596491228,7.87280701754386,13.289473684210526,11.469298245614034,17.478070175438596,9.539473684210526
daredevil,41.0,15.74561403508772,26.68859649122807,16.907894736842106,19.605263157894736,13.157894736842104,43.94298245614035,18.50877192982456,29.517543859649123,18.640350877192983,21.864035087719298,15.021929824561404,41.771929824561404,14.210526315789474,24.05701754385965,15.570175438596491,20.13157894736842,13.837719298245615,21.95175438596491,9.232456140350877,12.850877192982455,9.12280701754386,13.486842105263158,7.675438596491228
debugger,59.578947368421055,48.026315789473685,57.65350877192982,50.30701754385965,51.99561403508772,49.01315789473684,59.17982456140351,49.80263157894737,58.79385964912281,52.916666666666664,55.85526315789474,51.53508771929825,42.425438596491226,31.62280701754386,39.166666666666664,34.80263157894737,42.56578947368421,38.12280701754386,18.37719298245614,16.11842105263158,19.82456140350877,18.81578947368421,23.31140350877193,19.42982456140351
demon,27.29385964912281,7.93859649122807,18.333333333333332,14.276315789473685,16.25,7.565789473684211,30.81578947368421,9.210526315789474,19.342105263157894,15.219298245614034,19.232456140350877,8.859649122807017,28.763157894736842,9.166666666666666,16.92982456140351,15.701754385964913,18.969298245614034,10.0,11.635964912280702,3.4210526315789473,7.828947368421052,6.973684210526316,9.144736842105264,3.3991228070175437
designer,62.574561403508774,60.526315789473685,66.97368421052632,60.94298245614035,69.10087719298245,65.78947368421052,62.44298245614035,61.074561403508774,66.11842105263158,62.03947368421053,71.44736842105263,68.02631578947368,42.61842105263158,40.37280701754386,43.75,41.79824561403509,56.64473684210526,52.36842105263158,15.43859649122807,16.359649122807017,16.228070175438596,17.149122807017545,26.95175438596491,22.644736842105264
destroyer,32.46491228070175,12.521929824561404,26.79824561403509,20.74561403508772,18.42105263157895,13.100877192982455,34.04385964912281,13.070175438596491,28.399122807017545,21.600877192982455,20.17543859649123,14.232456140350877,27.837719298245613,9.539473684210526,23.837719298245613,18.486842105263158,16.92982456140351,11.929824561403509,12.192982456140351,3.925438596491228,11.798245614035087,9.364035087719298,9.25438596491228,5.307017543859649
