method,alpha,subdim_i,subdim_j,spearman_r
steered,2.5,vocab_choice,emotional_register,0.9447793093859349
steered,2.5,vocab_choice,vocab_choice,1.0
steered,2.5,vocab_choice,social_dynamic,0.9665659669041746
steered,2.5,vocab_choice,motivation,0.9000724882811455
steered,2.5,vocab_choice,worldview_alignment,0.9130638621215139
steered,2.5,social_dynamic,emotional_register,0.9775541628196733
steered,2.5,social_dynamic,vocab_choice,0.9665659669041747
steered,2.5,social_dynamic,social_dynamic,1.0
steered,2.5,social_dynamic,motivation,0.9453975463063559
steered,2.5,social_dynamic,worldview_alignment,0.9542863531299092
steered,2.5,motivation,emotional_register,0.9475928899995614
steered,2.5,motivation,vocab_choice,0.9000724882811456
steered,2.5,motivation,social_dynamic,0.945397546306356
steered,2.5,motivation,motivation,1.0
steered,2.5,motivation,worldview_alignment,0.995122740753413
steered,2.5,worldview_alignment,emotional_register,0.9564874754179141
steered,2.5,worldview_alignment,vocab_choice,0.9130638621215138
steered,2.5,worldview_alignment,social_dynamic,0.9542863531299092
steered,2.5,worldview_alignment,motivation,0.995122740753413
steered,2.5,worldview_alignment,worldview_alignment,1.0
assistant_axis,1.0,emotional_register,emotional_register,1.0
assistant_axis,1.0,emotional_register,vocab_choice,0.977776780814805
assistant_axis,1.0,emotional_register,social_dynamic,0.9828192301721833
assistant_axis,1.0,emotional_register,motivation,0.9680557505009117
assistant_axis,1.0,emotional_register,worldview_alignment,0.9809847503818158
assistant_axis,1.0,vocab_choice,emotional_register,0.9777767808148051
assistant_axis,1.0,vocab_choice,vocab_choice,1.0
assistant_axis,1.0,vocab_choice,social_dynamic,0.984074397472563
assistant_axis,1.0,vocab_choice,motivation,0.9486096206778671
assistant_axis,1.0,vocab_choice,worldview_alignment,0.9650493531980421
assistant_axis,1.0,social_dynamic,emotional_register,0.9828192301721833
assistant_axis,1.0,social_dynamic,vocab_choice,0.984074397472563
assistant_axis,1.0,social_dynamic,social_dynamic,1.0
assistant_axis,1.0,social_dynamic,motivation,0.961230222305353
assistant_axis,1.0,social_dynamic,worldview_alignment,0.9730709531490992
assistant_axis,1.0,motivation,emotional_register,0.9680557505009117
assistant_axis,1.0,motivation,vocab_choice,0.948609620677867
assistant_axis,1.0,motivation,social_dynamic,0.961230222305353
assistant_axis,1.0,motivation,motivation,1.0
assistant_axis,1.0,motivation,worldview_alignment,0.9935150288899348
assistant_axis,1.0,worldview_alignment,emotional_register,0.9809847503818157
assistant_axis,1.0,worldview_alignment,vocab_choice,0.9650493531980421
assistant_axis,1.0,worldview_alignment,social_dynamic,0.9730709531490993
assistant_axis,1.0,worldview_alignment,motivation,0.9935150288899349
assistant_axis,1.0,worldview_alignment,worldview_alignment,1.0
assistant_axis,1.5,emotional_register,emotional_register,1.0
assistant_axis,1.5,emotional_register,vocab_choice,0.9772189627806347
assistant_axis,1.5,emotional_register,social_dynamic,0.9840148224829296
assistant_axis,1.5,emotional_register,motivation,0.964805835746879
assistant_axis,1.5,emotional_register,worldview_alignment,0.9783725824502307
assistant_axis,1.5,vocab_choice,emotional_register,0.9772189627806347
assistant_axis,1.5,vocab_choice,vocab_choice,1.0
assistant_axis,1.5,vocab_choice,social_dynamic,0.9825229404979706
assistant_axis,1.5,vocab_choice,motivation,0.9440565029177163
assistant_axis,1.5,vocab_choice,worldview_alignment,0.9631591763278173
assistant_axis,1.5,social_dynamic,emotional_register,0.9840148224829296
assistant_axis,1.5,social_dynamic,vocab_choice,0.9825229404979705
assistant_axis,1.5,social_dynamic,social_dynamic,1.0
assistant_axis,1.5,social_dynamic,motivation,0.9596041704653777
assistant_axis,1.5,social_dynamic,worldview_alignment,0.9715030357707355
assistant_axis,1.5,motivation,emotional_register,0.964805835746879
assistant_axis,1.5,motivation,vocab_choice,0.9440565029177161
assistant_axis,1.5,motivation,social_dynamic,0.9596041704653777
assistant_axis,1.5,motivation,motivation,1.0
assistant_axis,1.5,motivation,worldview_alignment,0.9931279885092478
assistant_axis,1.5,worldview_alignment,emotional_register,0.9783725824502306
assistant_axis,1.5,worldview_alignment,vocab_choice,0.9631591763278174
assistant_axis,1.5,worldview_alignment,social_dynamic,0.9715030357707355
assistant_axis,1.5,worldview_alignment,motivation,0.9931279885092477
assistant_axis,1.5,worldview_alignment,worldview_alignment,1.0
assistant_axis,2.0,emotional_register,emotional_register,1.0
assistant_axis,2.0,emotional_register,vocab_choice,0.9640496202788584
assistant_axis,2.0,emotional_register,social_dynamic,0.9779517781527994
assistant_axis,2.0,emotional_register,motivation,0.9461125759395381
assistant_axis,2.0,emotional_register,worldview_alignment,0.9668020594396348
assistant_axis,2.0,vocab_choice,emotional_register,0.9640496202788584
assistant_axis,2.0,vocab_choice,vocab_choice,1.0
assistant_axis,2.0,vocab_choice,social_dynamic,0.9646271716005027
assistant_axis,2.0,vocab_choice,motivation,0.9002341549438914
assistant_axis,2.0,vocab_choice,worldview_alignment,0.9315610635361581
assistant_axis,2.0,social_dynamic,emotional_register,0.9779517781527994
assistant_axis,2.0,social_dynamic,vocab_choice,0.9646271716005028
assistant_axis,2.0,social_dynamic,social_dynamic,1.0
assistant_axis,2.0,social_dynamic,motivation,0.9410579523138437
assistant_axis,2.0,social_dynamic,worldview_alignment,0.9537727591143783
assistant_axis,2.0,motivation,emotional_register,0.9461125759395382
assistant_axis,2.0,motivation,vocab_choice,0.9002341549438915
assistant_axis,2.0,motivation,social_dynamic,0.9410579523138438
assistant_axis,2.0,motivation,motivation,1.0
assistant_axis,2.0,motivation,worldview_alignment,0.9870552855505251
assistant_axis,2.0,worldview_alignment,emotional_register,0.9668020594396349
assistant_axis,2.0,worldview_alignment,vocab_choice,0.9315610635361581
assistant_axis,2.0,worldview_alignment,social_dynamic,0.9537727591143784
assistant_axis,2.0,worldview_alignment,motivation,0.9870552855505251
assistant_axis,2.0,worldview_alignment,worldview_alignment,1.0
assistant_axis,2.5,emotional_register,emotional_register,1.0
assistant_axis,2.5,emotional_register,vocab_choice,0.8640374420097685
assistant_axis,2.5,emotional_register,social_dynamic,0.958370773752647
assistant_axis,2.5,emotional_register,motivation,0.8735521405401034
assistant_axis,2.5,emotional_register,worldview_alignment,0.9382162018948484
assistant_axis,2.5,vocab_choice,emotional_register,0.8640374420097686
assistant_axis,2.5,vocab_choice,vocab_choice,1.0
assistant_axis,2.5,vocab_choice,social_dynamic,0.8884769250595581
assistant_axis,2.5,vocab_choice,motivation,0.7546495563515475
assistant_axis,2.5,vocab_choice,worldview_alignment,0.8329253775710661
assistant_axis,2.5,social_dynamic,emotional_register,0.958370773752647
assistant_axis,2.5,social_dynamic,vocab_choice,0.8884769250595581
assistant_axis,2.5,social_dynamic,social_dynamic,1.0
assistant_axis,2.5,social_dynamic,motivation,0.8622015365839962
assistant_axis,2.5,social_dynamic,worldview_alignment,0.9166846264858577
assistant_axis,2.5,motivation,emotional_register,0.8735521405401035
assistant_axis,2.5,motivation,vocab_choice,0.7546495563515475
assistant_axis,2.5,motivation,social_dynamic,0.8622015365839962
assistant_axis,2.5,motivation,motivation,1.0
assistant_axis,2.5,motivation,worldview_alignment,0.9661244921679291
assistant_axis,2.5,worldview_alignment,emotional_register,0.9382162018948486
assistant_axis,2.5,worldview_alignment,vocab_choice,0.8329253775710661
assistant_axis,2.5,worldview_alignment,social_dynamic,0.9166846264858576
assistant_axis,2.5,worldview_alignment,motivation,0.9661244921679291
assistant_axis,2.5,worldview_alignment,worldview_alignment,1.0
