O*NET-SOC Code	Task ID	Task	Task Type	Incumbents Responding	Date	Domain Source
11-3051.01	15428	Analyze quality control test results and provide feedback and interpretation to production management or staff.	Core	59.0	08/2022	Incumbent
11-3051.01	15413	Verify that raw materials, purchased parts or components, in-process samples, and finished products meet established testing and inspection standards.	Core	59.0	08/2022	Incumbent
11-3051.01	15421	Instruct staff in quality control and analytical procedures.	Core	59.0	08/2022	Incumbent
11-3051.01	15424	Direct the tracking of defects, test results, or other regularly reported quality control data.	Core	59.0	08/2022	Incumbent
11-3051.01	15420	Identify quality problems or areas for improvement and recommend solutions.	Core	59.0	08/2022	Incumbent
11-3051.01	15416	Produce reports regarding nonconformance of products or processes, daily production quality, root cause analyses, or quality trends.	Core	59.0	08/2022	Incumbent
11-3051.01	15427	Communicate quality control information to all relevant organizational departments, outside vendors, or contractors.	Core	59.0	08/2022	Incumbent
11-3051.02	15446	Supervise employees in geothermal power plants or well fields.	Core	51.0	07/2011	Incumbent
11-3051.02	15447	Oversee geothermal plant operations, maintenance, and repairs to ensure compliance with applicable standards or regulations.	Core	50.0	07/2011	Incumbent
11-3051.02	15434	Communicate geothermal plant conditions to employees.	Core	51.0	07/2011	Incumbent
11-3051.02	15443	Identify and evaluate equipment, procedural, or conditional inefficiencies involving geothermal plant systems.	Core	51.0	07/2011	Incumbent
11-3051.02	15439	Perform or direct the performance of preventative maintenance on geothermal plant equipment.	Core	51.0	07/2011	Incumbent
11-3051.02	15448	Inspect geothermal plant or injection well fields to verify proper equipment operations.	Core	51.0	07/2011	Incumbent
11-3051.02	15445	Develop or manage budgets for geothermal operations.	Core	52.0	07/2011	Incumbent
11-3051.02	15444	Develop operating plans and schedules for geothermal operations.	Core	52.0	07/2011	Incumbent
11-3051.02	15436	Record, review, or maintain daily logs, reports, maintenance, and other records associated with geothermal operations.	Core	51.0	07/2011	Incumbent
11-3051.02	15442	Identify opportunities to improve plant electrical equipment, controls, or process control methodologies.	Core	51.0	07/2011	Incumbent
11-3051.03	15454	Supervise production employees in the manufacturing of biofuels, such as biodiesel or ethanol.	Core	63.0	07/2016	Incumbent
11-3051.03	15462	Manage operations at biofuels power generation facilities, including production, shipping, maintenance, or quality assurance activities.	Core	65.0	07/2016	Incumbent
11-3051.03	15450	Provide direction to employees to ensure compliance with biofuels plant safety, environmental, or operational standards and regulations.	Core	64.0	07/2016	Incumbent
11-3051.03	15453	Confer with technical and supervisory personnel to report or resolve conditions affecting biofuels plant safety, operational efficiency, and product quality.	Core	62.0	07/2016	Incumbent
11-3051.03	15456	Review logs, datasheets, or reports to ensure adequate production levels or to identify abnormalities with biofuels production equipment or processes.	Core	63.0	07/2016	Incumbent
11-3051.03	15458	Monitor meters, flow gauges, or other real-time data to ensure proper operation of biofuels production equipment, implementing corrective measures as needed.	Core	65.0	07/2016	Incumbent
11-3051.03	15461	Adjust temperature, pressure, vacuum, level, flow rate, or transfer of biofuels to maintain processes at required levels.	Core	63.0	07/2016	Incumbent
11-3051.03	15449	Provide training to subordinate or new employees to improve biofuels plant safety or increase the production of biofuels.	Core	64.0	07/2016	Incumbent
11-3051.03	15455	Shut down and restart biofuels plant or equipment in emergency situations or for equipment maintenance, repairs, or replacements.	Core	64.0	07/2016	Incumbent
11-3051.03	15451	Monitor transportation and storage of flammable or other potentially dangerous feedstocks or products to ensure adherence to safety guidelines.	Core	63.0	07/2016	Incumbent
11-3051.04	21162	Manage safety programs at power generation facilities.	Core	61.0	08/2020	Incumbent
11-3051.04	15471	Review biomass operations performance specifications to ensure compliance with regulatory requirements.	Core	61.0	08/2020	Incumbent
11-3051.04	15470	Review logs, datasheets, or reports to ensure adequate production levels and safe production environments or to identify abnormalities with power production equipment or processes.	Core	61.0	08/2020	Incumbent
11-3051.04	15468	Supervise operations or maintenance employees in the production of power from biomass, such as wood, coal, paper sludge, or other waste or refuse.	Core	61.0	08/2020	Incumbent
11-3051.04	15478	Supervise biomass plant or substation operations, maintenance, repair, or testing activities.	Core	62.0	08/2020	Incumbent
11-3051.04	15480	Conduct field inspections of biomass plants, stations, or substations to ensure normal and safe operating conditions.	Core	62.0	08/2020	Incumbent
11-3051.04	15474	Plan and schedule plant activities, such as wood, waste, or refuse fuel deliveries, ash removal, and regular maintenance.	Core	62.0	08/2020	Incumbent
11-3051.04	15473	Prepare and manage biomass plant budgets.	Core	61.0	08/2020	Incumbent
11-3051.04	15477	Evaluate power production or demand trends to identify opportunities for improved operations.	Core	62.0	08/2020	Incumbent
11-3051.04	15472	Prepare reports on biomass plant operations, status, maintenance, and other information.	Core	60.0	08/2020	Incumbent
11-3051.06	15520	Direct operations, maintenance, or repair of hydroelectric power facilities.	Core	86.0	07/2016	Incumbent
11-3051.06	15512	Maintain records of hydroelectric facility operations, maintenance, or repairs.	Core	86.0	07/2016	Incumbent
11-3051.06	15509	Perform or direct preventive or corrective containment or cleanup to protect the environment.	Core	86.0	07/2016	Incumbent
11-3051.06	15513	Monitor or inspect hydroelectric equipment, such as hydro-turbines, generators, or control systems.	Core	86.0	07/2016	Incumbent
11-3051.06	15514	Inspect hydroelectric facilities, including switchyards, control houses, or relay houses, for normal operation or adherence to safety standards.	Core	85.0	07/2016	Incumbent
11-3051.06	15519	Supervise or monitor hydroelectric facility operations to ensure that generation or mechanical equipment conform to applicable regulations or standards.	Core	86.0	07/2016	Incumbent
11-3051.06	15518	Check hydroelectric operations for compliance with prescribed operating limits, such as loads, voltages, temperatures, lines, or equipment.	Core	85.0	07/2016	Incumbent
11-3051.06	15504	Develop or implement projects to improve efficiency, economy, or effectiveness of hydroelectric plant operations.	Core	86.0	07/2016	Incumbent
11-3051.06	15503	Provide technical direction in the erection or commissioning of hydroelectric equipment or supporting electrical or mechanical systems.	Core	86.0	07/2016	Incumbent
11-3051.06	15505	Supervise hydropower plant equipment installations, upgrades, or maintenance.	Core	86.0	07/2016	Incumbent
11-9031.00	5193	Confer with parents and staff to discuss educational activities and policies and students' behavioral or learning problems.	Core	91.0	08/2018	Incumbent
11-9031.00	5196	Monitor students' progress and provide students and teachers with assistance in resolving any problems.	Core	90.0	08/2018	Incumbent
11-9031.00	5198	Recruit, hire, train, and evaluate primary and supplemental staff and recommend personnel actions for programs and services.	Core	91.0	08/2018	Incumbent
11-9031.00	5204	Teach classes or courses or provide direct care to children.	Core	90.0	08/2018	Incumbent
11-9031.00	5195	Set educational standards and goals and help establish policies, procedures, and programs to carry them out.	Core	89.0	08/2018	Incumbent
11-9031.00	5202	Determine the scope of educational program offerings and prepare drafts of program schedules and descriptions to estimate staffing and facility requirements.	Core	90.0	08/2018	Incumbent
11-9031.00	5197	Determine allocations of funds for staff, supplies, materials, and equipment and authorize purchases.	Core	91.0	08/2018	Incumbent
11-9031.00	5199	Direct and coordinate activities of teachers or administrators at daycare centers, schools, public agencies, or institutions.	Core	90.0	08/2018	Incumbent
11-9031.00	5194	Prepare and maintain attendance, activity, planning, accounting, or personnel reports and records for officials and agencies, or direct preparation and maintenance activities.	Core	89.0	08/2018	Incumbent
11-9031.00	5200	Plan, direct, and monitor instructional methods and content of educational, vocational, or student activity programs.	Core	90.0	08/2018	Incumbent
11-9032.00	5215	Counsel and provide guidance to students regarding personal, academic, vocational, or behavioral issues.	Core	65.0	08/2025	Incumbent
11-9032.00	5212	Confer with parents and staff to discuss educational activities, policies, and student behavior or learning problems.	Core	65.0	08/2025	Incumbent
11-9032.00	5234	Determine the scope of educational program offerings, and prepare drafts of course schedules and descriptions to estimate staffing and facility requirements.	Core	65.0	08/2025	Incumbent
11-9032.00	5226	Observe teaching methods and examine learning materials to evaluate and standardize curricula and teaching techniques and to determine areas for improvement.	Core	65.0	08/2025	Incumbent
11-9032.00	5232	Collaborate with teachers to develop and maintain curriculum standards, develop mission statements, and set performance goals and objectives.	Core	65.0	08/2025	Incumbent
11-9032.00	5224	Recruit, hire, train, and evaluate primary and supplemental staff.	Core	65.0	08/2025	Incumbent
11-9032.00	18587	Plan and lead professional development activities for teachers, administrators, and support staff.	Core	65.0	08/2025	Incumbent
11-9032.00	5221	Direct and coordinate activities of teachers, administrators, and support staff at schools, public agencies, and institutions.	Core	65.0	08/2025	Incumbent
11-9032.00	5223	Set educational standards and goals, and help establish policies and procedures to carry them out.	Core	65.0	08/2025	Incumbent
11-9032.00	5222	Evaluate curricula, teaching methods, and programs to determine their effectiveness, efficiency, and use, and to ensure compliance with federal, state, and local regulations.	Core	65.0	08/2025	Incumbent
11-9033.00	21041	Design or use assessments to monitor student learning outcomes.	Core	114.0	08/2018	Incumbent
11-9033.00	5235	Recruit, hire, train, and terminate departmental personnel.	Core	114.0	08/2018	Incumbent
11-9033.00	18594	Direct, coordinate, and evaluate the activities of personnel, including support staff engaged in administering academic institutions, departments, or alumni organizations.	Core	113.0	08/2018	Incumbent
11-9033.00	18593	Advise students on issues such as course selection, progress toward graduation, and career decisions.	Core	114.0	08/2018	Incumbent
11-9033.00	5236	Plan, administer, and control budgets, maintain financial records, and produce financial reports.	Core	114.0	08/2018	Incumbent
11-9033.00	5240	Establish operational policies and procedures and make any necessary modifications, based on analysis of operations, demographics, and other research information.	Core	114.0	08/2018	Incumbent
11-9033.00	5237	Represent institutions at community and campus events, in meetings with other institution personnel, and during accreditation processes.	Core	114.0	08/2018	Incumbent
11-9033.00	21042	Prepare reports on academic or institutional data.	Core	113.0	08/2018	Incumbent
11-9033.00	18596	Promote the university by participating in community, state, and national events or meetings, and by developing partnerships with industry and secondary education institutions.	Core	113.0	08/2018	Incumbent
11-9033.00	5238	Participate in faculty and college committee activities.	Core	114.0	08/2018	Incumbent
11-9041.00	20170	Manage the coordination and overall integration of technical activities in architecture or engineering projects.	Core	59.0	08/2020	Incumbent
11-9041.00	20171	Direct, review, or approve project design changes.	Core	60.0	08/2020	Incumbent
11-9041.00	1071	Consult or negotiate with clients to prepare project specifications.	Core	59.0	08/2020	Incumbent
11-9041.00	1070	Present and explain proposals, reports, or findings to clients.	Core	60.0	08/2020	Incumbent
11-9041.00	1060	Confer with management, production, or marketing staff to discuss project specifications or procedures.	Core	60.0	08/2020	Incumbent
11-9041.00	20173	Assess project feasibility by analyzing technology, resource needs, or market demand.	Core	59.0	08/2020	Incumbent
11-9041.00	20175	Review, recommend, or approve contracts or cost estimates.	Core	59.0	08/2020	Incumbent
11-9041.00	20176	Develop or implement policies, standards, or procedures for engineering and technical work.	Core	59.0	08/2020	Incumbent
11-9041.00	20174	Direct recruitment, placement, and evaluation of architecture or engineering project staff.	Core	60.0	08/2020	Incumbent
11-9041.00	20177	Perform administrative functions, such as reviewing or writing reports, approving expenditures, enforcing rules, or purchasing of materials or services.	Core	60.0	08/2020	Incumbent
11-9041.01	15574	Design or conduct applied biodiesel or biofuels research projects on topics, such as transport, thermodynamics, mixing, filtration, distillation, fermentation, extraction, and separation.	Core	99.0	07/2014	Incumbent
11-9041.01	15578	Analyze data from biofuels studies, such as fluid dynamics, water treatments, or solvent extraction and recovery processes.	Core	100.0	07/2014	Incumbent
11-9041.01	15567	Prepare, or oversee the preparation of, experimental plans for biofuels research or development.	Core	100.0	07/2014	Incumbent
11-9041.01	15566	Provide technical or scientific guidance to technical staff in the conduct of biofuels research or development.	Core	100.0	07/2014	Incumbent
11-9041.01	15580	Propose new biofuels products, processes, technologies or applications based on findings from applied biofuels or biomass research projects.	Core	100.0	07/2014	Incumbent
11-9041.01	15576	Conduct experiments on biomass or pretreatment technologies.	Core	99.0	07/2014	Incumbent
11-9041.01	15568	Prepare biofuels research and development reports for senior management or technical professionals.	Core	99.0	07/2014	Incumbent
11-9041.01	15563	Develop lab scale models of industrial scale processes, such as fermentation.	Core	100.0	07/2014	Incumbent
11-9041.01	15579	Oversee biodiesel/biofuels prototyping or development projects.	Core	99.0	07/2014	Incumbent
11-9041.01	15577	Conduct experiments to test new or alternate feedstock fermentation processes.	Core	100.0	07/2014	Incumbent
11-9051.00	15199	Count money and make bank deposits.	Core	108.0	08/2025	Incumbent
11-9051.00	1086	Establish standards for personnel performance and customer service.	Core	108.0	08/2025	Incumbent
11-9051.00	1085	Keep records required by government agencies regarding sanitation or food subsidies.	Core	105.0	08/2025	Incumbent
11-9051.00	1078	Investigate and resolve complaints regarding food quality, service, or accommodations.	Core	106.0	08/2025	Incumbent
11-9051.00	1090	Maintain food and equipment inventories, and keep inventory records.	Core	107.0	08/2025	Incumbent
11-9051.00	1089	Perform some food preparation or service tasks, such as cooking, clearing tables, and serving food and drinks when necessary.	Core	107.0	08/2025	Incumbent
11-9051.00	1079	Schedule and receive food and beverage deliveries, checking delivery contents to verify product quality and quantity.	Core	107.0	08/2025	Incumbent
11-9051.00	1083	Monitor compliance with health and fire regulations regarding food preparation and serving, and building maintenance in lodging and dining facilities.	Core	107.0	08/2025	Incumbent
11-9051.00	1092	Order and purchase equipment and supplies.	Core	105.0	08/2025	Incumbent
11-9051.00	1088	Review work procedures and operational problems to determine ways to improve service, performance, or safety.	Core	107.0	08/2025	Incumbent
11-9071.00	7185	Resolve customer complaints regarding problems, such as payout errors.	Core	76.0	08/2023	Incumbent
11-9071.00	7186	Remove suspected cheaters, such as card counters or other players who may have systems that shift the odds of winning to their favor.	Core	75.0	08/2023	Incumbent
11-9071.00	7196	Track supplies of money to tables and perform any required paperwork.	Core	75.0	08/2023	Incumbent
11-9071.00	7190	Explain and interpret house rules, such as game rules or betting limits.	Core	75.0	08/2023	Incumbent
11-9071.00	7193	Prepare work schedules and station arrangements and keep attendance records.	Core	75.0	08/2023	Incumbent
11-9071.00	7191	Monitor staffing levels to ensure that games and tables are adequately staffed for each shift, arranging for staff rotations and breaks and locating substitute employees as necessary.	Core	75.0	08/2023	Incumbent
11-9071.00	7187	Maintain familiarity with all games used at a facility, as well as strategies or tricks employed in those games.	Core	76.0	08/2023	Incumbent
11-9071.00	7188	Train new workers or evaluate their performance.	Core	76.0	08/2023	Incumbent
11-9071.00	20472	Market or promote the casino to bring in business.	Core	76.0	08/2023	Incumbent
11-9071.00	7192	Interview and hire workers.	Core	76.0	08/2023	Incumbent
11-9072.00	21409	Plan, organize, or lead group activities for customers, such as exercise routines, athletic events, or arts and crafts.	Core	53.0	08/2025	Incumbent
11-9072.00	21408	Plan programs of events or schedules of activities.	Core	53.0	08/2025	Incumbent
11-9072.00	21412	Talk to coworkers using electronic devices, such as computers and radios.	Core	53.0	08/2025	Incumbent
11-9072.00	21402	Calculate and record department expenses and revenue.	Core	53.0	08/2025	Incumbent
11-9072.00	21413	Talk to customers to convey information about events or activities.	Core	53.0	08/2025	Incumbent
11-9072.00	21404	Explain rules and regulations of facilities and entertainment attractions to customers.	Core	53.0	08/2025	Incumbent
11-9072.00	21400	Administer first aid in emergency situations.	Core	52.0	08/2025	Incumbent
11-9072.00	21401	Assign tasks and work hours to staff.	Core	53.0	08/2025	Incumbent
11-9072.00	21410	Resolve customer complaints regarding worker performance or services rendered.	Core	53.0	08/2025	Incumbent
11-9072.00	21414	Train workers in company procedures or policy.	Core	53.0	08/2025	Incumbent
11-9081.00	1105	Answer inquiries pertaining to hotel policies and services, and resolve occupants' complaints.	Core	49.0	07/2017	Incumbent
11-9081.00	1109	Confer and cooperate with other managers to ensure coordination of hotel activities.	Core	49.0	07/2017	Incumbent
11-9081.00	1104	Greet and register guests.	Core	49.0	07/2017	Incumbent
11-9081.00	18599	Monitor the revenue activity of the hotel or facility.	Core	49.0	07/2017	Incumbent
11-9081.00	1113	Train staff members.	Core	49.0	07/2017	Incumbent
11-9081.00	1112	Observe and monitor staff performance to ensure efficient operations and adherence to facility's policies and procedures.	Core	49.0	07/2017	Incumbent
11-9081.00	1116	Inspect guest rooms, public areas, and grounds for cleanliness and appearance.	Core	49.0	07/2017	Incumbent
